userId,productNumber,altNumber1,altNumber2,altNumber3,altNumber4,altNumber5,productType,brand,description
1,HPE-CPU-1001,Xy3a1,B1CpW9,C1h2Rd,D10FgY,E1zF3a,CPU,Intel, High-performance Intel CPU for gaming and tasks   
1,HPE-RAM-1002,A2VpL1,B2QfW7,C2dJ9X,D2bO4y,E2kP8n,RAM,Corsair, Corsair Vengeance RGB RAM for smooth multitasking 
1,HPE-Storage-1003,A3sK5t,B3xJ6q,C3mN1u,D3lF2b,E3hP7s,Storage,Seagate, High-capacity Seagate HDD for data storage       
1,HPE-GPU-1004,A4gH6m,B4tL8p,C4dN3w,D4sJ9r,E4yP2q,GPU,NVIDIA, NVIDIA GeForce RTX 3080 for high-end graphics    
1,HPE-Motherboard-1005,A5vG7n,B5sT2p,C5fJ4r,D5xN9w,E5dM1u,Motherboard,ASUS, ASUS ROG Strix Z590-E GamingMotherboard
1,HPE-SSD-1006,A6sK5t,B6xJ6q,C6dN1u,D6lF2b,E6hP7s,SSD,Samsung, Samsung 970 EVO Plus SSD for fast storage       
1,HPE-Cooler-1007,A7gH6m,B7tL8p,C7dN3w,D7sJ9r,E7yP2q,Cooler,NZXT, NZXT Kraken X63 Liquid Cooler for temperature control 
1,HPE-PSU-1008,A8vG7n,B8sT2p,C8fJ4r,D8xN9w,E8dM1u,PowerSupplyUnit,EVGA, EVGA SuperNOVA 850 G5 PSU for reliable power     
1,HPE-Case-1009,A9sK5t,B9xJ6q,C9dN1u,D9lF2b,E9hP7s,PCCase,FractalDesign, Fractal Design Meshify C Case for stylish builds 
1,HPE-Monitor-1010,A10gH6m,B10tL8p,C10dN3w,D10sJ9r,E10yP2q,Monitor,Dell, Dell Alienware AW3420DW Ultrawide Gaming Monitor 
1,HPE-CPU-1002,Xy3a2,B1CpW10,C1h2Rd,D10FgY,E1zF3a,CPU,Intel, High-performance Intel CPU for gaming and tasks   
1,HPE-RAM-1003,A2VpL2,B2QfW8,C2dJ9X,D2bO4y,E2kP8n,RAM,Corsair, Corsair Vengeance RGB RAM for smooth multitasking 
1,HPE-Storage-1004,A3sK5t,B3xJ6q,C3mN1u,D3lF2b,E3hP7s,Storage,Seagate, High-capacity Seagate HDD for data storage       
