userId,productNumber,altNumber1,altNumber2,altNumber3,altNumber4,altNumber5,altNumber6,quantity,productType,brand,description,relatedTags,createdAt,updatedAt
1, 092X1G ,,92X1G ,,,,,0,DVD Drive,dell,OPTICAL SATA SLIM DVD-rom drive,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1, 111-00574,,,FAS3270,,,,0,Module,NetApp,,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1, 74107242,,, FLS648,,,,1,Network Switch , Brocade,,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1, G74XW,,,0G74XW,,,,4,Battery,Dell - LSI Tectae,Dell LIS Tectate PowerBurst TPL 13.5V RAID Cache Battery,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1, J9279A,,,,,,,0,Network Switch,HPE,HPE ProCurve Switch 2510G-24 Switch,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AD050,49Y7433,,,,,,4,Hard Disk Drive / HDD,Lenovo,Lenovo 300GB 15K SAS 2.5 NEXTSCALE,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AE806,,00AE807,,,,,1,RAID Controller,IBM,IBM ServeRAID M5110 8-Port 6Gb PCIe SAS/SATA Controller,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AE852,46C9110,46C9111,N32112F / N32112G / # 44W3394| 00KH415  (FBWC) ,,,,6,RAID Card,Lenovo / IBM,IBM M5210 ServeRAID 6Gb/12Gb SAS/SATA Adapter,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AG542,00AG543,,,,,,5,Network Adapter,Lenovo,Lenovo Flex System CN4052s 2-Port 10GB Virtual Fabric Adapter,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AG593,01KR607,,,,,,0,Network Adapter,Lenovo,Lenovo Flex System CN4054S 4-Port 10Gb Virtual Fabric Adapter,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AG941,,00AG941,# 00FK661 (Kit - includes power and Mini-SAS Cables),,,,1,HDD Backplane,Lenovo,Lenovo System X 3650 M5 8x 2.5in Hot-Swap HDD Assembly w/ Expander,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AJ096,00AJ097,00AJ100,9WE066-155,,,,2,Hard Disk Drive / HDD,IBM,IBM 300GB 10K 6G SFF G3HS SAS HARD DRIVE,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AJ186,00AJ187,,,,,,0,Solid State Drive / SSD,Lenovo / IBM,Lenovo 800GB 2.5in SATA SSD HS63H5,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AJ410,00AJ411,00Mp681,,,,,0,SSD,Lenovo,800GB MLC 2.5 SATA HS G3HS,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AL468,00KG194,N33645C,,,,,0,Heatsink,Lenovo,Lenovo IBM Heatsink X3500 M5 Latch Type,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AL953,00MU109,00KC578,,,,,1,Riser HDD Cage,Lenovo / IBM,"Lenovo x3650 M5 Rear 2.5"" 2SFF HDD Riser Kit",,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
1,00AL954,00MU098,00KC577,,,,,1,Drive Cage,IBM  / Lenovo, Rear 3.5-inch Two Hard Drive Kit,,2022-01-03 20:38:35.5-05,2022-01-03 20:38:35.5-05
